Snugg Pro ID,kWh Saved,Mbtu Saved,Annual Fuel Dollars Saved,Annual Electric Dollars Saved,Total Savings,CO2 Tons Diverted,Mbtu Percent,CO 2 Percent,Mirr,SIR,Annual Fuel Therms Saved,Year Built,Conditioned Area (sqft),Front of Building Orientation,Blower Door Reading,Blower Door Reading Improved,HVAC Duct Location,HVAC Duct Leakage Value,HVAC Duct Leakage Value Improved,HVAC Duct Efficiency,HVAC Duct Efficiency Improved,HVAC System Equipment Type,HVAC Heating Energy Source,HVAC Heating Is Condensing
269232,3131.151497,10.69,0,394,393.9,8.0,16,17,6,1.2,0.0,1950.0,1705.0,East,3443.0,2582.25,Basement (unconditioned),0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
273124,717.7351203,2.45,0,90,90.29,4.2,5,5,-1,0.3,0.0,1988.0,2115.0,South West,3939.0,2954.25,50/50 Basement (unconditioned) - Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
275463,-86.23138114,14.26,310,-10,298.89,5.8,17,15,44,0.0,145.5404233,1946.0,938.0,South East,2280.0,1710.0,50/50 Attic (unconditioned) - Conditioned Space,0.0,0.0,89.08,93.1,Room AC,Fuel Oil,
279435,247.0920883,14.44,169,31,199.86,4.4,16,16,16,7.3,136.0079362,1980.0,1400.0,,1890.0,1417.5,,,,,0.0,Boiler,Natural Gas,No
259065,9021.444134,30.79,0,1135,1134.9,7.2,37,39,10,2.7,0.0,1965.0,1635.0,North East,5771.0,4328.25,Attic (unconditioned),0.0,0.0,73.6,88.13,Central Heat Pump (shared ducts),Electricity,
269992,4921.523724,16.8,0,619,619.13,14.6,15,15,13,4.2,0.0,1962.0,1935.0,North West,5811.0,3691.0,Attic (unconditioned),0.0,0.0,77.79,83.05,Central Heat Pump (shared ducts),Electricity,
276121,3831.542953,13.08,0,483,482.01,5.8,25,25,7,1.3,0.0,1997.0,1900.0,North West,2563.0,1922.25,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
257909,410.2547083,9.06,95,51,146.66,29.3,2,2,4,0.8,76.59054269,1955.0,1192.0,East,2017.0,1512.75,50/50 Attic (unconditioned) - Conditioned Space,0.0,0.0,87.66,91.57,Furnace / Central AC (shared ducts),Natural Gas,No
266671,305.7493777,1.04,0,38,38.46,7.8,2,2,-5,0.1,0.0,1974.0,1176.0,South East,1885.0,1413.75,,,,,0.0,Electric Resistance,Electricity,
253889,-3310.631603,58.78,869,-416,453.08,6.5,55,24,4,0.9,700.7043253,1994.0,1749.0,South West,2077.0,1557.75,Crawlspace (unconditioned),0.0,0.0,100.0,100.0,Furnace / Central AC (shared ducts),Natural Gas,No
253503,-5962.359012,16.65,1302,-750,551.02,6.3,20,5,3,0.7,369.9546261,2006.0,1476.0,West,1658.0,1243.5,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Furnace / Central AC (shared ducts),Propane,Yes
256592,586.1429199,8.59,82,73,155.57,3.5,15,13,2,0.6,65.93877568,1990.0,1274.0,West,1178.0,883.5,50/50 Attic (unconditioned) - Conditioned Space,0.0,0.0,80.98,91.15,Furnace / Central AC (shared ducts),Natural Gas,No
258945,5039.963929,17.2,0,634,634.03,5.0,34,34,1,0.5,0.0,1977.0,1200.0,South East,2249.0,1686.75,,,0.0,,100.0,Room AC,Electricity,
266768,582.5512514,11.26,115,73,188.3,6.7,13,11,1,0.5,92.68831943,1953.0,1841.0,South,3075.0,2306.25,50/50 Basement (unconditioned) - Conditioned Space,0.0,0.0,100.0,100.0,Furnace / Central AC (shared ducts),Natural Gas,No
278978,570.5048343,1.95,0,72,71.77,4.4,4,4,2,0.6,0.0,1979.0,2171.0,South East,1499.0,1124.25,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
265865,1761.430775,6.01,0,221,221.59,3.9,13,13,5,0.9,0.0,1996.0,2009.0,South West,2864.0,2148.0,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
